{ date: 06/01/2022, originalDate: 06/01/2022, offset: null, memo: DROGARIA SAO PAULO SA, payee: Drogaria, category: B1. Alimentacao-Drogaria-Vet:Drogaria, amount: -0.04 } 
{ date: 08/01/2022, originalDate: 08/01/2022, offset: null, memo: MOBLY VILLA LOBOS, payee: Lojas, category: C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla, amount: -0.01 } 
{ date: 08/01/2022, originalDate: 08/01/2022, offset: null, memo: LEROY MERLIN JAGUARE, payee: Leroy Merlin, category: E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos, amount: -0.20 } 
{ date: 15/01/2022, originalDate: 15/01/2022, offset: null, memo: DECATHLON, payee: Decathlon, category: C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla, amount: -0.02 } 
{ date: 19/01/2022, originalDate: 19/01/2022, offset: null, memo: PAG*DepositoDe, payee: , category: , amount: -0.01 } 
{ date: 02/02/2022, originalDate: 02/02/2022, offset: null, memo: RAPPI*RAPPI BRASIL, payee: , category: , amount: 93.92 } 
{ date: 03/02/2022, originalDate: 03/02/2022, offset: null, memo: CJTJ DELIVERY, payee: , category: , amount: 100.10 } 
{ date: 03/02/2022, originalDate: 03/12/2021, offset: 3, memo: ZAPALLA           03/03, payee: Lojas, category: E1. Extraordinarias (Ongoing):Presentes, amount: 139.68 } 
{ date: 04/02/2022, originalDate: 04/02/2022, offset: null, memo: PADARIA KING BREAD LT, payee: Padaria, category: B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos, amount: 43.69 } 
{ date: 04/02/2022, originalDate: 04/02/2022, offset: null, memo: IFD*ALICE PESSOA BENED, payee: Restaurantes, category: C1. Lazer-Estetica-Vestuario-Celular:Restaurantes, amount: 49.90 } 
{ date: 04/02/2022, originalDate: 04/09/2021, offset: 6, memo: PAYPAL *EVENTIMBRA06/06, payee: Ingresso, category: C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao, amount: 660.00 } 
{ date: 05/02/2022, originalDate: 05/02/2022, offset: null, memo: FABIO MORANGO, payee: , category: , amount: 61.00 } 
{ date: 06/02/2022, originalDate: 06/02/2022, offset: null, memo: PEIXARIA SAO FRANCISCO, payee: Supermercado, category: B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos, amount: 133.94 } 
