[Mastercad Black]|Opening Balance|undefined
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|CINEARTE POMPEIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MASSAS RICCI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BEEF BOUTIQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BACIO DI LATTE
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR DELIVERY
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTACIONAMENTO EINSTEI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ETIENNE ROTISSERIA E B
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 1357
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ECLAIR MOI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BABBO GIOVANNI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OSAKA III
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TABACARIA VUELTA ABAJO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRANGO FRITO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ 33 VILA LOB
[Residencia Lorian]|Outros|MILANO COMERCIO VAREJI
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|HORA PARK SISTEMA*HORA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CANTO DA MATA FORNERIA
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 01/10
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 02/10
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TINTAS FAMOSAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MANAGER ALL
E2. Extraordinárias (One Time):Outras|Outros|PAGFORTE II
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|INTIMISSIMI 01/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|R24 VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|INTIMISSIMI 02/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DRL PAES E DOCES LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA DE ESFIHA HARMONI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SIK LANCHES
[Residencia Lorian]|Outros|COBASI OSASCO
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS 01/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TRATTORIA DO PIETRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Tuhu|TUHU
[Residencia Lorian]|Inovar Ferragens|INOVAR COM DE MET 01/03 PUXADOR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|Z DELI SANDUICHES
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO01/05
G. Reembolsáveis:Médicos-Clinicas-Exames|Marcelo Silber|CICLO DE VIDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BRASCATTA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TERMINI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AR FAST FOOD DO BRASIL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOBS
A1. Residência Villas:Gás|Ultragaz|ULTRAGAZ AVANCO
E2. Extraordinárias (One Time):Outras|Outros|PAGSEGUROUOL*Jcecconi
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 01/03
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|EXPRESSO PAO DE QUEIJO
[Residencia Lorian]|Outros|SANTO ANTONIO MATERIAI
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN RAPOSO
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA 7.64 (U. S. DOLLAR)
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS 119.69 (U.S.DOLLAR)
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 170 01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|EMPORIO DAS COMIDAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ 14 MARKET P
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|AUTHENTIC FEET-V.L01/03
[Itau Personnalité]|Mastercad Black|PERS BLACK  3602-0104
