[Mastercard Personnalite]|Opening Balance|undefined
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Mambo Supermercado|SUPERMERCADOS MAMBO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WIPE PASTA E GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PHILADELFIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MAGNOLIA CAFE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE MOURA NUNE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MEU E M TS TRAT BELE
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL LJ 170
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|FARMALIFE SP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ZARAPEUSTAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|RICHARDS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|SPEEDO
E1. Extraordinarias (Ongoing):Presentes|Outros|STA MARIA EXPRESS
E1. Extraordinarias (Ongoing):Presentes|Vila Romana|VILA ROMANA SUL NW
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AVILA COM
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|REDE ESTAPAR ESTAC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AOYAMAS
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Açougue|ACOUGUE E DERIV
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 10
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FRUTARIA COLLIN
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|BOMBONIERE MONT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ARAK
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|FARMAX LJ 16
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA SH VILLA LOBO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|TADAMASSA YAMADA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SP L008
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Outros|ESTAPAR ESTACIONAMENTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AJAJ LANCHONETE LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALIMENTACAO JAS LANCHO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHONETE MUZAMBINHO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|PAO DO PARQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SANTO DESCANSO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Zeka Cabelereiro|ZEKA CABELEREIRO
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|WET N WILD
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO ROCIO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SUPERMERCADOS M
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAKED POTATOR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TEMAKI BY NORU
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEM VL OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILLA AROMA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Outros|ESTAPAR ESTACIO
[Itau Personnalité]|Mastercard Personnalite|undefined
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MONTANA GRILL EXPRESS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GELATERIA PARMALAT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA ROCIO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 1248
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TASTE E DELIGHT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THAI HO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST JARDIM ALA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA ALETA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|QUALY FAST GRILL
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDOS
E1. Extraordinarias (Ongoing):Presentes|Outros|ANY ANY
E1. Extraordinarias (Ongoing):Presentes|Outros|MEU E M TS TRAT
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|CENTRO COM SER VENEZ
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BELLO RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OLIMPIA GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOMBONIERE MONTSON
D. Viagens:Compras|Amazon| - AMZ*Amazon Payments
D. Viagens:Compras|Amazon|Amazon.com
D. Viagens:Compras|Amazon|Amazon.com - BALMEX
H. Impostos Federais:CPMF-IOF|Governo| - IMPOSTO COMPRA INT-IOF
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ABADIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PRIME BURGUER
D. Viagens:Compras|Amazon|AMZ*Amazon Payments
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA JD SUL
E1. Extraordinarias (Ongoing):Presentes|Outros|VICTOR HUGO 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE HIRO
E1. Extraordinarias (Ongoing):Presentes|Outros|PBKIDS
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 1357
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 
[Itau Personnalité]|Mastercard Personnalite|BKI PERS MASTER
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHURASCARIA PORTAL GRI
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106
E1. Extraordinarias (Ongoing):Presentes|Outros|SANRIO ELDORADO 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|MAMMY GESTANTE IGUATEM
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|MAMMY GESTANTE IGU
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S NFL
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 1
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE HIR
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|RICHARDS 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|PIRLIMPIMPIM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST AMERICA J
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ART KILO
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|AUTO PARK
H. Impostos Federais:CPMF-IOF|Governo|IMPOSTO COMPRA INT-IOF
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE VILA PARIS
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR ESTACIONAMENTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE TAKEDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S ELDORADO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MICROPLUS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ROTIS VILLA MADALENA
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR ESTAC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA PLAZA SUL
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|C & A MODAS LJ 100
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO S IBIRAPUERA 14
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA IBIRAPUERA 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN EMPRESARIA
E1. Extraordinarias (Ongoing):Presentes|Outros|PBKIDS BRINQUEDOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SAPPORO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Açougue|ACOUGUE E DERIVADOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SOLO PASTA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BELLO RESTAURAN
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Zeka Cabelereiro|ZEKA CABELEREIR
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUED 
A1. Residencia Villas:Moveis|Outros|ETNA HOME STORE 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SALLVATTORE
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO HUNGRIA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|DRI*ca.com - CA ANUIDADE ANTIVIRUS
I. Taxas Bancarias:Manutencao de Conta|Mastercard Personnalite|ANUIDADE CARTAO T 
C. Reembolsos:Reembolso|Mastercard Personnalite| - EST DIF COT DOLAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|DILETTO CALCADOS P
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Arezzo|AREZZO IBIRAPUERA 
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|MULTIPARK ESTACIONAMEN
B. Outras Receitas:Ajustes|Mastercard Personnalite|CREDITO/INSCRICAO TITUL
E1. Extraordinarias (Ongoing):Presentes|Outros|ANY ANY 
A1. Residencia Villas:Moveis|Outros|BABY HOUSE TEODORO
[Itau Personnalité]|Mastercard Personnalite|CARTAO PERSONNALITE
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROG EXTRA LJ 2713
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR SPV 250
F. Automoveis:Combustivel-Lavagem-Oleo|Outros|REI DO OLEO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|IVANA GARDEN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE DE SAO PAULO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|GIGANTE AUTO POSTO
E1. Extraordinarias (Ongoing):Presentes|Outros|FUNFARRA 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DOCEIRA OFNER
E1. Extraordinarias (Ongoing):Presentes|Outros| - FLORES ON LINE
E1. Extraordinarias (Ongoing):Presentes|Outros|O BOTICARIO VILLA LOBO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Decathlon|DECATHLON
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 1207
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Lojas|LOJAS ZELO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|BEST BAG
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE SUPRA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MAGIA DOS SABORES
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 2349
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO UNIVERSITARIOS
E2. Extraordinarias (One Time):Outras|Outros|PAYPAL *ROBOFORM
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|PP *1196 EXPUSE
A1. Residencia Villas:Moveis|C&C|C&C CASA E CONSTRU
E1. Extraordinarias (Ongoing):Reforma Vilas|Leroy Merlin|LEROY MERLIN RAPOSO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILA PIZZE E PANINI
A1. Residencia Villas:Moveis|C&C|C&C CASA E CONS
B2. Educacao (Mensal):Cursos Eduardo-Carla|Outros|PROJECT MANAGEMENT INS
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SUPERMERCADO SANTA FE
B2. Educacao (Mensal):Cursos Eduardo-Carla|Outros|PROJECT MGMT INSTITUTE - PMI EXAM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MASSAS RICCI
H. Impostos Federais:CPMF-IOF|Governo|IMPOSTO COMPRA INT-IOF - 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|PUC IBIRAPUERA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|ZELO 
A1. Residencia Villas:Moveis|Outros|FAST SHOP - TV LCD 32
A1. Residencia Villas:Moveis|Outros|MADEIRAS PINHEIRO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MERCEARIA SAO FRANCISC
A1. Residencia Villas:Moveis|Outros|MULTICOISAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HAVANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO S MORUMBI 03
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|IG Lavanderia|5 A SEC COLINA SAO FCO
E1. Extraordinarias (Ongoing):Presentes|Outros|O BOTICARIO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA ALBERT EINSTEIN
A1. Residencia Villas:Moveis|Outros|LEO MADEIRAS LJ 
A1. Residencia Villas:Moveis|Outros|ALO BEBE 
A1. Residencia Villas:Moveis|Outros|CASAS BAHIA 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Leroy Merlin|LEROY MERLIN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILA PIZZE E PA
G. Reembolsaveis:Despesas de Trabalho|Outros|LOCAWEB TRIMESTRAL PARA INTERCEPTI
B. Outras Receitas:Ajustes|Mastercard Personnalite| - EST DIF COT DOLAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Vila Romana|VILA ROMANA SUL NW
E1. Extraordinarias (Ongoing):Presentes|Outros|YACHTSMAN 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HERING 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|C&A 275
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAKED POTATO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CITRINO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NAKOMBI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|YARA STUART
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|DE CANTO EM CANTO 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|FARMA & CIA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|ALO BEBE 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|PUKET VILLA LOBOS
E2. Extraordinarias (One Time):Outras|Outros|NAPOLEAO TAKESHITA
